created,tweet_text
Tue Nov 08 10:32:44 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:32:03 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:28:54 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:26:17 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:25:35 +0000 2022,RT @stove_tteugeowo: 이지영 길을 잃었다 https://t.co/aW5UgYEgWH
Tue Nov 08 10:24:58 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:24:28 +0000 2022,RT @stove_tteugeowo: 이지영 길을 잃었다 https://t.co/aW5UgYEgWH
Tue Nov 08 10:23:17 +0000 2022,RT @stove_tteugeowo: 이지영 길을 잃었다 https://t.co/aW5UgYEgWH
Tue Nov 08 10:23:09 +0000 2022,RT @stove_tteugeowo: 이지영 길을 잃었다 https://t.co/aW5UgYEgWH
Tue Nov 08 10:22:48 +0000 2022,RT @stove_tteugeowo: 이지영 길을 잃었다 https://t.co/aW5UgYEgWH
Tue Nov 08 10:22:40 +0000 2022,RT @stove_tteugeowo: 이지영 길을 잃었다 https://t.co/aW5UgYEgWH
Tue Nov 08 10:22:18 +0000 2022,RT @stove_tteugeowo: 이지영 길을 잃었다 https://t.co/aW5UgYEgWH
Tue Nov 08 10:22:02 +0000 2022,이지영 길을 잃었다 https://t.co/aW5UgYEgWH
Tue Nov 08 10:21:45 +0000 2022,아  ㅋㅋㅋㅋㅋㅋㅋㅋ이지영 표정 왤케 웃겨 웃수지영
Tue Nov 08 10:21:44 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:21:44 +0000 2022,이지영개웃겨 ㅋㅋㅋㅋㅋㅋㅋ
Tue Nov 08 10:20:22 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:19:16 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:19:06 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:18:28 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:17:50 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:16:15 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:15:30 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 10:14:52 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
